magnetic field (T)	nonlocal resistance (parallel field) (Ω)	nonlocal resistance (antiparallel field) (Ω)
-0.199	0.46	0.92
-0.198	-1.12	0.14
-0.197	-0.58	-0.88
-0.196	0.1	-0.54
-0.195	0.24	0.88
-0.194	0.26	1.36
-0.193	0.56	0.78
-0.192	0.26	1.34
-0.191	0.34	1.26
-0.19	0.04	1.38
-0.189	0.1	1.02
-0.188	-0.22	-1.34
-0.187	0.52	0.44
-0.186	-0.08	-0.58
-0.185	-0.68	-0.46
-0.184	-0.24	0.96
-0.183	-0.18	0.58
-0.182	-0.18	0.66
-0.181	-0.12	0.46
-0.18	-0.18	0.7
-0.179	0.46	1.3
-0.178	-0.1	0.9
-0.177	0.02	0.52
-0.176	0.04	0.88
-0.175	0.22	0.48
-0.174	0.32	0.5
-0.173	-0.28	1.08
-0.172	-2.84	1.16
-0.171	-0.06	0.7
-0.17	0.3	0.7
-0.169	-0.56	1.22
-0.168	-0.72	1.1
-0.167	-0.58	1.26
-0.166	-0.96	1.22
-0.165	0.22	2.2
-0.164	-0.08	1.3
-0.163	-0.1	1.66
-0.162	-0.28	1.9
-0.161	-1.02	-0.1
-0.16	0.42	2
-0.159	-0.3	1.48
-0.158	-0.04	1.82
-0.157	-0.5	1.36
-0.156	-0.54	0.22
-0.155	-1.66	1.54
-0.154	-0.78	1.02
-0.153	-0.44	1.24
-0.152	-0.16	1.2
-0.151	0.02	1.34
-0.15	-0.9	1.66
-0.149	-1.9	1.4
-0.148	-1.32	1.82
-0.147	-1.84	1.24
-0.146	-0.7	1.34
-0.145	-1.28	2.02
-0.144	-1.62	1
-0.143	-2.64	1.72
-0.142	-1.12	1.58
-0.141	-0.84	-0.02
-0.14	-2.1	0.24
-0.139	-1.18	1.34
-0.138	-2.02	2.24
-0.137	-2.46	2.42
-0.136	-1.56	1.72
-0.135	-1.48	1.64
-0.134	-0.92	1.38
-0.133	-0.98	1.12
-0.132	-1.32	1.66
-0.131	-1.1	1.3
-0.13	-1.58	0.9
-0.129	-1.08	0.84
-0.128	-1.22	1.44
-0.127	-1.38	2.1
-0.126	-1.74	0.94
-0.125	-1.3	1.7
-0.124	-1.26	1.38
-0.123	-1.82	1.24
-0.122	-1.34	1.76
-0.121	-1.74	1.62
-0.12	-1.06	-0.2
-0.119	-1.58	1.52
-0.118	-1.96	0.96
-0.117	-3.04	0.2
-0.116	-1.4	0.6
-0.115	-0.64	0.34
-0.114	-1.28	0.88
-0.113	-1.3	0.7
-0.112	-1.36	0.2
-0.111	-1.26	1.64
-0.11	-1.86	1.88
-0.109	-1.98	1.5
-0.108	-2.22	1.32
-0.107	-1.96	1.7
-0.106	-1.34	1.46
-0.105	-1.72	2.04
-0.104	-2.22	2.38
-0.103	-1.84	1.38
-0.102	-2.24	1.78
-0.101	-2	2.2
-0.1	-1.96	1.74
-0.099	-2.06	2.1
-0.098	-1.44	2.36
-0.097	-2.24	1.84
-0.096	-3.2	2.46
-0.095	-2.86	2.34
-0.094	-2	2.06
-0.093	-2.36	1.96
-0.092	-1.96	1.6
-0.091	-2.1	1.44
-0.09	-1.74	2.62
-0.089	-2.32	1.78
-0.088	-3	2.18
-0.087	-1.7	1.76
-0.086	-2.18	2
-0.085	-1.92	1.8
-0.084	-1.9	2
-0.083	-1.4	1.52
-0.082	-1.54	1.98
-0.081	-2.28	1.7
-0.08	-2.08	2
-0.079	-4.12	1.1
-0.0785	-1.14	1.12
-0.078	-2.02	0.02
-0.0775	-1.7	1.28
-0.077	-1.08	1.9
-0.0765	-2.72	1.62
-0.076	-1.86	0.78
-0.0755	-1.9	2.02
-0.075	-0.9	1.98
-0.0745	-1.96	0.84
-0.074	-1.7	0.8
-0.0735	-1.48	1.36
-0.073	-1.88	1.88
-0.0725	-1.78	0.92
-0.072	-2.48	-1.28
-0.0715	-2.16	0.02
-0.071	-2.48	1.54
-0.0705	-2	1.4
-0.07	-2.32	1.36
-0.0695	-1.64	1.54
-0.069	-2.28	1.02
-0.0685	-1.54	0.96
-0.068	-1.3	1.18
-0.0675	-1.64	-0.16
-0.067	-1.9	-0.82
-0.0665	-3.24	-0.32
-0.066	-2.88	1.68
-0.0655	-2.2	0.54
-0.065	-1.5	-1.12
-0.0645	-1.4	1.4
-0.064	-0.8	1.14
-0.0635	-0.88	1.38
-0.063	-1.48	0.34
-0.0625	-2.12	-0.22
-0.062	-0.94	-0.66
-0.0615	-0.78	-1.18
-0.061	-0.62	-0.8
-0.0605	-0.08	0.1
-0.06	-1.34	0.76
-0.0595	-0.62	0.24
-0.059	-2.4	-0.88
-0.0585	-1.3	-1.16
-0.058	-2.86	0.44
-0.0575	-1.42	0.84
-0.057	-0.68	1.42
-0.0565	-0.22	0.8
-0.056	-0.5	0.5
-0.0555	0.28	0.98
-0.055	0.06	1.08
-0.0545	-0.42	1.08
-0.054	-2.26	1.02
-0.0535	-1.94	0.46
-0.053	-1.86	-1.22
-0.0525	-0.22	0.16
-0.052	-0.14	0.06
-0.0515	-0.12	1.16
-0.051	0.14	0.74
-0.0505	-0.48	0.38
-0.05	0.52	1.22
-0.0495	0.44	1.28
-0.049	0.08	0.8
-0.0485	0.18	-0.98
-0.048	-1.64	0.7
-0.0475	0.26	0.88
-0.047	0.4	1.16
-0.0465	-0.42	0.5
-0.046	0.08	-1.5
-0.0455	-0.68	-1.16
-0.045	0.44	0.88
-0.0445	0.54	0.4
-0.044	0.86	0.64
-0.0435	0.04	-0.04
-0.043	-0.76	0.34
-0.0425	0.1	-0.14
-0.042	0.16	0.64
-0.0415	0.5	-0.06
-0.041	-1.12	0.34
-0.0405	0.94	0.38
-0.04	0.74	-0.26
-0.0395	-0.18	-0.34
-0.039	0.78	0.36
-0.0385	0.5	-1.9
-0.038	0.48	-0.72
-0.0375	0.98	-0.82
-0.037	-0.96	-0.24
-0.0365	1.46	-0.44
