magnetic field (T)	nonlocal resistance (parallel field) (Ω)
-0.195	-0.7025
-0.185	-0.8475
-0.175	-0.9575
-0.165	-1.1
-0.155	-1.12
-0.145	-1.135
-0.144	-1.1975
-0.143	-1.2125
-0.142	-1.17
-0.141	-1.1475
-0.14	-1.1375
-0.139	-1.2
-0.138	-1.23
-0.137	-1.18
-0.136	-1.1475
-0.135	-1.1825
-0.134	-1.19
-0.133	-1.195
-0.132	-1.255
-0.131	-1.275
-0.13	-1.2
-0.129	-1.1475
-0.128	-1.165
-0.127	-1.135
-0.126	-1.07
-0.125	-1.105
-0.124	-1.0625
-0.123	-1.085
-0.122	-1.145
-0.121	-1.0875
-0.12	-1.22
-0.119	-1.135
-0.118	-1.23
-0.117	-1.245
-0.116	-1.255
-0.115	-1.195
-0.114	-1.175
-0.113	-1.135
-0.112	-1.145
-0.111	-1.0025
-0.11	-1.1
-0.109	-0.9625
-0.108	-1.045
-0.107	-1.0325
-0.106	-1.03
-0.105	-1.03
-0.104	-1
-0.103	-0.97
-0.102	-0.9725
-0.101	-0.965
-0.1	-0.9
-0.099	-0.91
-0.098	-0.865
-0.097	-0.775
-0.096	-0.75
-0.095	-0.66
-0.094	-0.5925
-0.093	-0.5325
-0.092	-0.5525
-0.091	-0.48
-0.09	-0.395
-0.089	-0.425
-0.088	-0.425
-0.087	-0.4425
-0.086	-0.315
-0.085	-0.38
-0.084	-0.2575
-0.083	-0.2025
-0.082	-0.185
-0.081	-0.12
-0.08	-0.0475
-0.079	-0.025
-0.078	0.0075
-0.077	0.13
-0.076	0.2075
-0.075	0.2775
-0.074	0.4775
-0.073	0.52
-0.072	0.48
-0.071	0.57
-0.07	0.57
-0.069	0.67
-0.068	0.7875
-0.067	0.805
-0.066	1.0325
-0.065	1.115
-0.064	1.24
-0.063	1.3175
-0.062	1.4225
-0.061	1.51
-0.06	1.585
-0.059	1.615
-0.058	1.725
-0.057	1.835
-0.056	1.915
-0.055	1.985
-0.054	2.185
-0.053	2.2525
-0.052	2.325
-0.051	2.57
-0.05	2.6175
-0.049	2.7225
-0.048	2.92
-0.047	3.01
-0.046	3.1625
-0.045	3.3925
-0.044	3.53
-0.043	3.665
-0.042	3.81
-0.041	3.94
-0.04	4.0575
-0.039	4.185
-0.038	4.305
-0.037	4.585
-0.036	4.66
-0.035	4.83
-0.034	5.0375
-0.033	5.1825
-0.032	5.4325
-0.031	5.58
-0.03	5.8075
-0.029	6.0175
-0.028	6.105
-0.027	6.3125
-0.026	6.5025
-0.025	6.5125
-0.024	6.78
-0.023	6.965
-0.022	7.2575
-0.021	7.4
-0.02	7.5125
-0.019	7.705
-0.018	7.8625
-0.017	7.865
-0.016	8.2275
-0.015	8.2925
-0.014	8.3075
-0.013	8.5025
-0.012	8.5325
-0.011	8.615
-0.01	8.645
-0.009	8.705
-0.008	8.9225
-0.007	8.995
-0.006	8.925
-0.005	9.015
-0.004	9.065
-0.003	9.0375
-0.002	9.235
-0.001	9.2
0	9.01
0.001	9.01
0.002	9.2
0.003	9.235
0.004	9.0375
0.005	9.065
0.006	9.015
0.007	8.925
0.008	8.995
0.009	8.9225
0.01	8.705
0.011	8.645
0.012	8.615
0.013	8.5325
0.014	8.5025
0.015	8.3075
0.016	8.2925
0.017	8.2275
0.018	7.865
0.019	7.8625
0.02	7.705
0.021	7.5125
0.022	7.4
0.023	7.2575
0.024	6.965
0.025	6.78
0.026	6.5125
0.027	6.5025
0.028	6.3125
0.029	6.105
0.03	6.0175
0.031	5.8075
0.032	5.58
0.033	5.4325
0.034	5.1825
0.035	5.0375
0.036	4.83
0.037	4.66
0.038	4.585
0.039	4.305
0.04	4.185
0.041	4.0575
0.042	3.94
0.043	3.81
0.044	3.665
0.045	3.53
0.046	3.3925
0.047	3.1625
0.048	3.01
0.049	2.92
0.05	2.7225
0.051	2.6175
0.052	2.57
0.053	2.325
0.054	2.2525
0.055	2.185
