magnetic field (T)	nonlocal resistance (antiparallel field) (Ω)
-0.202	1.7575
-0.192	1.68
-0.182	1.675
-0.172	1.74
-0.162	1.61
-0.152	1.5825
-0.142	1.5675
-0.141	1.57
-0.14	1.4975
-0.139	1.4525
-0.138	1.475
-0.137	1.475
-0.136	1.41
-0.135	1.425
-0.134	1.47
-0.133	1.4225
-0.132	1.4075
-0.131	1.44
-0.13	1.3725
-0.129	1.3775
-0.128	1.36
-0.127	1.315
-0.126	1.2525
-0.125	1.215
-0.124	1.26
-0.123	1.2
-0.122	1.1425
-0.121	1.1175
-0.12	1.085
-0.119	1.065
-0.118	1.0525
-0.117	0.9925
-0.116	1.025
-0.115	1
-0.114	0.9125
-0.113	0.9225
-0.112	0.95
-0.111	0.9225
-0.11	0.8325
-0.109	0.85
-0.108	0.845
-0.107	0.8175
-0.106	0.75
-0.105	0.67
-0.104	0.7425
-0.103	0.7275
-0.102	0.62
-0.101	0.595
-0.1	0.5475
-0.099	0.4225
-0.098	0.3925
-0.097	0.4025
-0.096	0.3625
-0.095	0.26
-0.094	0.1575
-0.093	0.11
-0.092	0.1075
-0.091	0.0525
-0.09	-0.015
-0.089	-0.05
-0.088	-0.075
-0.087	-0.0975
-0.086	-0.1825
-0.085	-0.2825
-0.084	-0.3375
-0.083	-0.3625
-0.082	-0.4675
-0.081	-0.55
-0.08	-0.655
-0.079	-0.695
-0.078	-0.7375
-0.077	-0.85
-0.076	-0.95
-0.075	-0.9825
-0.074	-1.0875
-0.073	-1.1475
-0.072	-1.22
-0.071	-1.3075
-0.07	-1.3975
-0.069	-1.475
-0.068	-1.6075
-0.067	-1.6275
-0.066	-1.785
-0.065	-1.9025
-0.064	-2.0175
-0.063	-2.13
-0.062	-2.27
-0.061	-2.37
-0.06	-2.4975
-0.059	-2.6175
-0.058	-2.7975
-0.057	-2.905
-0.056	-3.0175
-0.055	-3.16
-0.054	-3.355
-0.053	-3.445
-0.052	-3.5775
-0.051	-3.8125
-0.05	-3.85
-0.049	-3.975
-0.048	-4.2725
-0.047	-4.4425
-0.046	-4.5625
-0.045	-4.7175
-0.044	-4.985
-0.043	-5.07
-0.042	-5.19
-0.041	-5.4825
-0.04	-5.6
-0.039	-5.8625
-0.038	-6.1675
-0.037	-6.28
-0.036	-6.455
-0.035	-6.7525
-0.034	-6.8625
-0.033	-7.1975
-0.032	-7.325
-0.031	-7.5575
-0.03	-7.7725
-0.029	-7.9575
-0.028	-8.2675
-0.027	-8.285
-0.026	-8.49
-0.025	-8.6625
-0.024	-8.8275
-0.023	-9.0525
-0.022	-9.355
-0.021	-9.4775
-0.02	-9.8075
-0.019	-9.9975
-0.018	-10.14
-0.017	-10.465
-0.016	-10.76
-0.015	-10.9925
-0.014	-11.04
-0.013	-11.1275
-0.012	-11.1425
-0.011	-11.3375
-0.01	-11.4275
-0.009	-11.655
-0.008	-11.7025
-0.007	-11.855
-0.006	-11.9275
-0.005	-11.9775
-0.004	-12.1425
-0.003	-12.085
-0.002	-12.255
-0.001	-12.4325
0	-12.335
0.001	-12.4325
0.002	-12.255
0.003	-12.085
0.004	-12.1425
0.005	-11.9775
0.006	-11.9275
0.007	-11.855
0.008	-11.7025
0.009	-11.655
0.01	-11.4275
0.011	-11.3375
0.012	-11.1425
0.013	-11.1275
0.014	-11.04
0.015	-10.9925
0.016	-10.76
0.017	-10.465
0.018	-10.14
0.019	-9.9975
0.02	-9.8075
0.021	-9.4775
0.022	-9.355
0.023	-9.0525
0.024	-8.8275
0.025	-8.6625
0.026	-8.49
0.027	-8.285
0.028	-8.2675
0.029	-7.9575
0.03	-7.7725
0.031	-7.5575
0.032	-7.325
0.033	-7.1975
0.034	-6.8625
0.035	-6.7525
0.036	-6.455
0.037	-6.28
0.038	-6.1675
0.039	-5.8625
0.04	-5.6
0.041	-5.4825
0.042	-5.19
0.043	-5.07
0.044	-4.985
0.045	-4.7175
0.046	-4.5625
0.047	-4.4425
0.048	-4.2725
0.049	-3.975
0.05	-3.85
0.051	-3.8125
0.052	-3.5775
0.053	-3.445
0.054	-3.355
0.055	-3.16
0.056	-3.0175
0.057	-2.905
0.058	-2.7975
0.059	-2.6175
0.06	-2.4975
0.061	-2.37
0.062	-2.27
0.063	-2.13
0.064	-2.0175
0.065	-1.9025
0.066	-1.785
0.067	-1.6275
0.068	-1.6075
0.069	-1.475
0.07	-1.3975
0.071	-1.3075
0.072	-1.22
0.073	-1.1475
0.074	-1.0875
0.075	-0.9825
0.076	-0.95
0.077	-0.85
0.078	-0.7375
0.079	-0.695
0.08	-0.655
0.081	-0.55
0.082	-0.4675
0.083	-0.3625
0.084	-0.3375
0.085	-0.2825
0.086	-0.1825
0.087	-0.0975
0.088	-0.075
0.089	-0.05
0.09	-0.015
0.091	0.0525
0.092	0.1075
0.093	0.11
0.094	0.1575
0.095	0.26
0.096	0.3625
0.097	0.4025
0.098	0.3925
0.099	0.4225
0.1	0.5475
0.101	0.595
0.102	0.62
0.103	0.7275
0.104	0.7425
0.105	0.67
0.106	0.75
0.107	0.8175
0.108	0.845
0.109	0.85
0.11	0.8325
0.111	0.9225
0.112	0.95
0.113	0.9225
0.114	0.9125
0.115	1
0.116	1.025
0.117	0.9925
0.118	1.0525
0.119	1.065
0.12	1.085
0.121	1.1175
0.122	1.1425
0.123	1.2
0.124	1.26
0.125	1.215
0.126	1.2525
0.127	1.315
0.128	1.36
0.129	1.3775
0.13	1.3725
0.131	1.44
0.132	1.4075
0.133	1.4225
0.134	1.47
0.135	1.425
0.136	1.41
0.137	1.475
0.138	1.475
0.139	1.4525
0.14	1.4975
0.141	1.57
0.142	1.5675
0.149	1.5825
0.159	1.61
0.169	1.74
0.179	1.675
0.189	1.68
0.199	1.7575
